id,created_at,updated_at,course_id,place_id,user_id
363,2023-11-29 09:47:09.965876,2023-11-29 09:47:09.965916,,662,22
364,2023-11-29 09:47:10.313428,2023-11-29 09:47:10.313457,,205,31
365,2023-11-29 09:47:10.909263,2023-11-29 09:47:10.909295,,280,31
366,2023-11-29 09:47:11.585673,2023-11-29 09:47:11.585704,,1557,30
367,2023-11-29 09:47:12.409479,2023-11-29 09:47:12.409512,,1514,31
368,2023-11-29 09:47:12.977018,2023-11-29 09:47:12.977054,,668,22
369,2023-11-29 09:47:13.420009,2023-11-29 09:47:13.420038,,1810,31
370,2023-11-29 09:47:15.326220,2023-11-29 09:47:15.326295,,1127,31
371,2023-11-29 09:47:18.546327,2023-11-29 09:47:18.546358,,210,30
372,2023-11-29 09:47:26.434949,2023-11-29 09:47:26.434979,,1420,30
373,2023-11-29 09:47:31.708605,2023-11-29 09:47:31.708636,,962,28
374,2023-11-29 09:47:33.694335,2023-11-29 09:47:33.694367,,1707,30
375,2023-11-29 09:47:44.955304,2023-11-29 09:47:44.955338,,1855,22
376,2023-11-29 09:47:47.119893,2023-11-29 09:47:47.119923,,1764,29
377,2023-11-29 09:47:47.415660,2023-11-29 09:47:47.415689,,1514,30
378,2023-11-29 09:47:50.435635,2023-11-29 09:47:50.435672,,1640,22
379,2023-11-29 09:47:52.659426,2023-11-29 09:47:52.659455,,211,30
380,2023-11-29 09:47:57.912393,2023-11-29 09:47:57.912422,,1793,29
381,2023-11-29 09:48:01.746353,2023-11-29 09:48:01.746383,,227,30
382,2023-11-29 09:48:08.871799,2023-11-29 09:48:08.871830,,207,30
383,2023-11-29 09:48:15.892652,2023-11-29 09:48:15.892687,,1877,29
384,2023-11-29 09:48:23.075789,2023-11-29 09:48:23.075827,,707,22
385,2023-11-29 09:48:24.503068,2023-11-29 09:48:24.503099,,936,28
386,2023-11-29 09:48:48.465833,2023-11-29 09:48:48.465870,,632,22
387,2023-11-29 09:48:58.685676,2023-11-29 09:48:58.685708,,25,22
388,2023-11-29 09:49:09.955792,2023-11-29 09:49:09.955832,,866,22
389,2023-11-29 09:49:15.775805,2023-11-29 09:49:15.775842,,929,22
390,2023-11-29 09:49:20.465458,2023-11-29 09:49:20.465492,,966,22
391,2023-11-29 09:49:27.463565,2023-11-29 09:49:27.463595,,216,28
392,2023-11-29 09:49:41.255561,2023-11-29 09:49:41.255595,,996,22
393,2023-11-29 09:49:55.015574,2023-11-29 09:49:55.015606,,251,28
394,2023-11-29 09:50:23.075864,2023-11-29 09:50:23.075905,,35,22
395,2023-11-29 09:50:29.559855,2023-11-29 09:50:29.559888,,307,28
396,2023-11-29 09:50:31.858197,2023-11-29 09:50:31.858261,,245,29
397,2023-11-29 09:50:39.512771,2023-11-29 09:50:39.512803,,319,28
398,2023-11-29 09:50:47.180014,2023-11-29 09:50:47.180044,,324,28
399,2023-11-29 09:50:49.215814,2023-11-29 09:50:49.215851,,671,22
400,2023-11-29 09:51:02.695690,2023-11-29 09:51:02.695727,,744,22
401,2023-11-29 09:51:03.641719,2023-11-29 09:51:03.641752,,734,22
402,2023-11-29 09:51:16.295634,2023-11-29 09:51:16.295667,,789,22
403,2023-11-29 09:51:22.280409,2023-11-29 09:51:22.280438,,478,29
404,2023-11-29 09:51:26.635657,2023-11-29 09:51:26.635691,,830,22
405,2023-11-29 09:51:44.255732,2023-11-29 09:51:44.255767,,924,22
